fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
3,chance_10/change_25,benchmark_model,test,0.984375,0.00213578216374269
4,chance_10/change_25,benchmark_model,test,0.984375,0.00213578216374269
0,chance_10/change_25,benchmark_model,val,0.97265625,0.00213578216374269
1,chance_10/change_25,benchmark_model,val,0.98046875,0.00213578216374269
2,chance_10/change_25,benchmark_model,val,0.9921875,0.00213578216374269
3,chance_10/change_25,benchmark_model,val,0.99609375,0.00213578216374269
4,chance_10/change_25,benchmark_model,val,0.96875,0.00213578216374269
0,chance_10/change_30,alt_model,test,0.965625,0.005686769005847954
1,chance_10/change_30,alt_model,test,0.975,0.005686769005847954
2,chance_10/change_30,alt_model,test,0.984375,0.005686769005847954
3,chance_10/change_30,alt_model,test,0.98125,0.005686769005847954
4,chance_10/change_30,alt_model,test,0.984375,0.005686769005847954
0,chance_10/change_30,alt_model,val,0.97265625,0.005686769005847954
1,chance_10/change_30,alt_model,val,0.9765625,0.005686769005847954
2,chance_10/change_30,alt_model,val,0.96875,0.005686769005847954
3,chance_10/change_30,alt_model,val,0.984375,0.005686769005847954
4,chance_10/change_30,alt_model,val,0.98046875,0.005686769005847954
0,chance_10/change_30,benchmark_model,test,0.965625,0.005686769005847954
1,chance_10/change_30,benchmark_model,test,0.990625,0.005686769005847954
2,chance_10/change_30,benchmark_model,test,0.990625,0.005686769005847954
3,chance_10/change_30,benchmark_model,test,0.9875,0.005686769005847954
4,chance_10/change_30,benchmark_model,test,0.975,0.005686769005847954
0,chance_10/change_30,benchmark_model,val,0.98046875,0.005686769005847954
1,chance_10/change_30,benchmark_model,val,0.97265625,0.005686769005847954
2,chance_10/change_30,benchmark_model,val,0.984375,0.005686769005847954
3,chance_10/change_30,benchmark_model,val,0.98046875,0.005686769005847954
4,chance_10/change_30,benchmark_model,val,0.97265625,0.005686769005847954
0,chance_10/change_35,alt_model,test,0.978125,0.01420906432748538
1,chance_10/change_35,alt_model,test,0.984375,0.01420906432748538
2,chance_10/change_35,alt_model,test,0.99375,0.01420906432748538
3,chance_10/change_35,alt_model,test,0.984375,0.01420906432748538
4,chance_10/change_35,alt_model,test,0.9875,0.01420906432748538
0,chance_10/change_35,alt_model,val,0.98046875,0.01420906432748538
1,chance_10/change_35,alt_model,val,0.99609375,0.01420906432748538
2,chance_10/change_35,alt_model,val,0.9921875,0.01420906432748538
3,chance_10/change_35,alt_model,val,0.9921875,0.01420906432748538
4,chance_10/change_35,alt_model,val,0.98828125,0.01420906432748538
0,chance_10/change_35,benchmark_model,test,0.95,0.01420906432748538
1,chance_10/change_35,benchmark_model,test,0.98125,0.01420906432748538
2,chance_10/change_35,benchmark_model,test,0.98125,0.01420906432748538
3,chance_10/change_35,benchmark_model,test,0.965625,0.01420906432748538
4,chance_10/change_35,benchmark_model,test,0.98125,0.01420906432748538
0,chance_10/change_35,benchmark_model,val,0.9609375,0.01420906432748538
1,chance_10/change_35,benchmark_model,val,0.96875,0.01420906432748538
2,chance_10/change_35,benchmark_model,val,0.98828125,0.01420906432748538
3,chance_10/change_35,benchmark_model,val,0.98046875,0.01420906432748538
4,chance_10/change_35,benchmark_model,val,0.9765625,0.01420906432748538
0,chance_10/change_40,alt_model,test,0.971875,0.010078581871345029
1,chance_10/change_40,alt_model,test,0.99375,0.010078581871345029
2,chance_10/change_40,alt_model,test,0.996875,0.010078581871345029
3,chance_10/change_40,alt_model,test,0.98125,0.010078581871345029
4,chance_10/change_40,alt_model,test,0.99375,0.010078581871345029
0,chance_10/change_40,alt_model,val,0.984375,0.010078581871345029
1,chance_10/change_40,alt_model,val,0.984375,0.010078581871345029
2,chance_10/change_40,alt_model,val,0.984375,0.010078581871345029
3,chance_10/change_40,alt_model,val,0.99609375,0.010078581871345029
4,chance_10/change_40,alt_model,val,0.9765625,0.010078581871345029
0,chance_10/change_40,benchmark_model,test,0.971875,0.010078581871345029
1,chance_10/change_40,benchmark_model,test,0.990625,0.010078581871345029
2,chance_10/change_40,benchmark_model,test,0.99375,0.010078581871345029
3,chance_10/change_40,benchmark_model,test,0.98125,0.010078581871345029
4,chance_10/change_40,benchmark_model,test,0.978125,0.010078581871345029
0,chance_10/change_40,benchmark_model,val,0.98828125,0.010078581871345029
1,chance_10/change_40,benchmark_model,val,0.98046875,0.010078581871345029
2,chance_10/change_40,benchmark_model,val,0.9921875,0.010078581871345029
3,chance_10/change_40,benchmark_model,val,1.0,0.010078581871345029
4,chance_10/change_40,benchmark_model,val,0.98046875,0.010078581871345029
0,chance_10/change_45,alt_model,test,0.971875,0.0025153508771929823
1,chance_10/change_45,alt_model,test,0.99375,0.0025153508771929823
2,chance_10/change_45,alt_model,test,0.990625,0.0025153508771929823
3,chance_10/change_45,alt_model,test,0.990625,0.0025153508771929823
4,chance_10/change_45,alt_model,test,0.9875,0.0025153508771929823
0,chance_10/change_45,alt_model,val,0.9765625,0.0025153508771929823
1,chance_10/change_45,alt_model,val,0.98828125,0.0025153508771929823
2,chance_10/change_45,alt_model,val,0.98828125,0.0025153508771929823
3,chance_10/change_45,alt_model,val,1.0,0.0025153508771929823
4,chance_10/change_45,alt_model,val,0.97265625,0.0025153508771929823
0,chance_10/change_45,benchmark_model,test,0.965625,0.0025153508771929823
1,chance_10/change_45,benchmark_model,test,0.9875,0.0025153508771929823
2,chance_10/change_45,benchmark_model,test,0.990625,0.0025153508771929823
3,chance_10/change_45,benchmark_model,test,0.984375,0.0025153508771929823
4,chance_10/change_45,benchmark_model,test,0.984375,0.0025153508771929823
0,chance_10/change_45,benchmark_model,val,0.96484375,0.0025153508771929823
1,chance_10/change_45,benchmark_model,val,0.98046875,0.0025153508771929823
2,chance_10/change_45,benchmark_model,val,0.98828125,0.0025153508771929823
3,chance_10/change_45,benchmark_model,val,0.98828125,0.0025153508771929823
4,chance_10/change_45,benchmark_model,val,0.9765625,0.0025153508771929823
0,chance_10/change_5,alt_model,test,0.975,0.0005922880116959065
1,chance_10/change_5,alt_model,test,0.990625,0.0005922880116959065
2,chance_10/change_5,alt_model,test,0.990625,0.0005922880116959065
3,chance_10/change_5,alt_model,test,0.98125,0.0005922880116959065
4,chance_10/change_5,alt_model,test,0.990625,0.0005922880116959065
0,chance_10/change_5,alt_model,val,0.98046875,0.0005922880116959065
1,chance_10/change_5,alt_model,val,0.984375,0.0005922880116959065
2,chance_10/change_5,alt_model,val,0.9921875,0.0005922880116959065
3,chance_10/change_5,alt_model,val,0.98828125,0.0005922880116959065
4,chance_10/change_5,alt_model,val,0.9765625,0.0005922880116959065
0,chance_10/change_5,benchmark_model,test,0.96875,0.0005922880116959065
1,chance_10/change_5,benchmark_model,test,0.978125,0.0005922880116959065
2,chance_10/change_5,benchmark_model,test,0.9875,0.0005922880116959065
3,chance_10/change_5,benchmark_model,test,0.984375,0.0005922880116959065
4,chance_10/change_5,benchmark_model,test,0.984375,0.0005922880116959065
0,chance_10/change_5,benchmark_model,val,0.96875,0.0005922880116959065
1,chance_10/change_5,benchmark_model,val,0.9765625,0.0005922880116959065
2,chance_10/change_5,benchmark_model,val,0.98828125,0.0005922880116959065
3,chance_10/change_5,benchmark_model,val,0.98828125,0.0005922880116959065
4,chance_10/change_5,benchmark_model,val,0.9765625,0.0005922880116959065
0,chance_10/change_50,alt_model,test,0.96875,0.0
1,chance_10/change_50,alt_model,test,0.990625,0.0
2,chance_10/change_50,alt_model,test,0.990625,0.0
3,chance_10/change_50,alt_model,test,0.984375,0.0
4,chance_10/change_50,alt_model,test,0.990625,0.0
0,chance_10/change_50,alt_model,val,0.97265625,0.0
1,chance_10/change_50,alt_model,val,0.984375,0.0
2,chance_10/change_50,alt_model,val,0.9921875,0.0
3,chance_10/change_50,alt_model,val,0.9921875,0.0
4,chance_10/change_50,alt_model,val,0.98046875,0.0
0,chance_10/change_50,benchmark_model,test,0.96875,0.0
1,chance_10/change_50,benchmark_model,test,0.990625,0.0
2,chance_10/change_50,benchmark_model,test,0.990625,0.0
3,chance_10/change_50,benchmark_model,test,0.984375,0.0
4,chance_10/change_50,benchmark_model,test,0.990625,0.0
0,chance_10/change_50,benchmark_model,val,0.97265625,0.0
1,chance_10/change_50,benchmark_model,val,0.984375,0.0
2,chance_10/change_50,benchmark_model,val,0.9921875,0.0
3,chance_10/change_50,benchmark_model,val,0.9921875,0.0
4,chance_10/change_50,benchmark_model,val,0.98046875,0.0
0,chance_100/change_10,alt_model,test,0.978125,0.008942616959064327
1,chance_100/change_10,alt_model,test,0.98125,0.008942616959064327
2,chance_100/change_10,alt_model,test,0.99375,0.008942616959064327
3,chance_100/change_10,alt_model,test,0.98125,0.008942616959064327
4,chance_100/change_10,alt_model,test,0.990625,0.008942616959064327
0,chance_100/change_10,alt_model,val,0.98046875,0.008942616959064327
1,chance_100/change_10,alt_model,val,0.98828125,0.008942616959064327
2,chance_100/change_10,alt_model,val,0.984375,0.008942616959064327
3,chance_100/change_10,alt_model,val,0.9921875,0.008942616959064327
4,chance_100/change_10,alt_model,val,0.984375,0.008942616959064327
0,chance_100/change_10,benchmark_model,test,0.965625,0.008942616959064327
1,chance_100/change_10,benchmark_model,test,0.96875,0.008942616959064327
2,chance_100/change_10,benchmark_model,test,0.99375,0.008942616959064327
3,chance_100/change_10,benchmark_model,test,0.98125,0.008942616959064327
4,chance_100/change_10,benchmark_model,test,0.990625,0.008942616959064327
0,chance_100/change_10,benchmark_model,val,0.96484375,0.008942616959064327
1,chance_100/change_10,benchmark_model,val,0.984375,0.008942616959064327
2,chance_100/change_10,benchmark_model,val,0.9921875,0.008942616959064327
3,chance_100/change_10,benchmark_model,val,0.99609375,0.008942616959064327
4,chance_100/change_10,benchmark_model,val,0.97265625,0.008942616959064327
0,chance_100/change_15,alt_model,test,0.9875,0.030460891812865497
1,chance_100/change_15,alt_model,test,0.990625,0.030460891812865497
2,chance_100/change_15,alt_model,test,0.984375,0.030460891812865497
3,chance_100/change_15,alt_model,test,0.9875,0.030460891812865497
4,chance_100/change_15,alt_model,test,0.984375,0.030460891812865497
0,chance_100/change_15,alt_model,val,0.98828125,0.030460891812865497
1,chance_100/change_15,alt_model,val,0.98046875,0.030460891812865497
2,chance_100/change_15,alt_model,val,0.9921875,0.030460891812865497
3,chance_100/change_15,alt_model,val,1.0,0.030460891812865497
4,chance_100/change_15,alt_model,val,0.99609375,0.030460891812865497
0,chance_100/change_15,benchmark_model,test,0.959375,0.030460891812865497
1,chance_100/change_15,benchmark_model,test,0.9625,0.030460891812865497
2,chance_100/change_15,benchmark_model,test,0.975,0.030460891812865497
3,chance_100/change_15,benchmark_model,test,0.95,0.030460891812865497
4,chance_100/change_15,benchmark_model,test,0.94375,0.030460891812865497
0,chance_100/change_15,benchmark_model,val,0.94140625,0.030460891812865497
1,chance_100/change_15,benchmark_model,val,0.953125,0.030460891812865497
2,chance_100/change_15,benchmark_model,val,0.96484375,0.030460891812865497
3,chance_100/change_15,benchmark_model,val,0.984375,0.030460891812865497
4,chance_100/change_15,benchmark_model,val,0.953125,0.030460891812865497
0,chance_100/change_20,alt_model,test,0.971875,0.02008625730994152
1,chance_100/change_20,alt_model,test,0.971875,0.02008625730994152
2,chance_100/change_20,alt_model,test,0.978125,0.02008625730994152
3,chance_100/change_20,alt_model,test,0.946875,0.02008625730994152
4,chance_100/change_20,alt_model,test,0.98125,0.02008625730994152
0,chance_100/change_20,alt_model,val,0.97265625,0.02008625730994152
1,chance_100/change_20,alt_model,val,0.9609375,0.02008625730994152
2,chance_100/change_20,alt_model,val,0.95703125,0.02008625730994152
3,chance_100/change_20,alt_model,val,0.96875,0.02008625730994152
4,chance_100/change_20,alt_model,val,0.97265625,0.02008625730994152
0,chance_100/change_20,benchmark_model,test,0.90625,0.02008625730994152
1,chance_100/change_20,benchmark_model,test,0.8875,0.02008625730994152
2,chance_100/change_20,benchmark_model,test,0.9125,0.02008625730994152
3,chance_100/change_20,benchmark_model,test,0.909375,0.02008625730994152
4,chance_100/change_20,benchmark_model,test,0.909375,0.02008625730994152
0,chance_100/change_20,benchmark_model,val,0.90625,0.02008625730994152
1,chance_100/change_20,benchmark_model,val,0.9296875,0.02008625730994152
2,chance_100/change_20,benchmark_model,val,0.890625,0.02008625730994152
3,chance_100/change_20,benchmark_model,val,0.91796875,0.02008625730994152
4,chance_100/change_20,benchmark_model,val,0.91015625,0.02008625730994152
0,chance_100/change_25,alt_model,test,0.990625,0.041647295321637426
1,chance_100/change_25,alt_model,test,0.971875,0.041647295321637426
2,chance_100/change_25,alt_model,test,0.984375,0.041647295321637426
3,chance_100/change_25,alt_model,test,0.984375,0.041647295321637426
4,chance_100/change_25,alt_model,test,0.990625,0.041647295321637426
0,chance_100/change_25,alt_model,val,0.98828125,0.041647295321637426
1,chance_100/change_25,alt_model,val,0.99609375,0.041647295321637426
2,chance_100/change_25,alt_model,val,0.98828125,0.041647295321637426
3,chance_100/change_25,alt_model,val,0.984375,0.041647295321637426
4,chance_100/change_25,alt_model,val,0.984375,0.041647295321637426
0,chance_100/change_25,benchmark_model,test,0.86875,0.041647295321637426
1,chance_100/change_25,benchmark_model,test,0.903125,0.041647295321637426
2,chance_100/change_25,benchmark_model,test,0.909375,0.041647295321637426
3,chance_100/change_25,benchmark_model,test,0.93125,0.041647295321637426
4,chance_100/change_25,benchmark_model,test,0.875,0.041647295321637426
0,chance_100/change_25,benchmark_model,val,0.8828125,0.041647295321637426
1,chance_100/change_25,benchmark_model,val,0.92578125,0.041647295321637426
2,chance_100/change_25,benchmark_model,val,0.88671875,0.041647295321637426
3,chance_100/change_25,benchmark_model,val,0.91015625,0.041647295321637426
4,chance_100/change_25,benchmark_model,val,0.91015625,0.041647295321637426
0,chance_100/change_30,alt_model,test,0.978125,0.05128527046783626
1,chance_100/change_30,alt_model,test,0.971875,0.05128527046783626
2,chance_100/change_30,alt_model,test,0.98125,0.05128527046783626
3,chance_100/change_30,alt_model,test,0.975,0.05128527046783626
4,chance_100/change_30,alt_model,test,0.98125,0.05128527046783626
0,chance_100/change_30,alt_model,val,0.96875,0.05128527046783626
1,chance_100/change_30,alt_model,val,0.96875,0.05128527046783626
2,chance_100/change_30,alt_model,val,0.98828125,0.05128527046783626
3,chance_100/change_30,alt_model,val,0.98046875,0.05128527046783626
4,chance_100/change_30,alt_model,val,0.9921875,0.05128527046783626
0,chance_100/change_30,benchmark_model,test,0.771875,0.05128527046783626
1,chance_100/change_30,benchmark_model,test,0.7625,0.05128527046783626
2,chance_100/change_30,benchmark_model,test,0.790625,0.05128527046783626
3,chance_100/change_30,benchmark_model,test,0.7875,0.05128527046783626
4,chance_100/change_30,benchmark_model,test,0.7625,0.05128527046783626
0,chance_100/change_30,benchmark_model,val,0.80078125,0.05128527046783626
1,chance_100/change_30,benchmark_model,val,0.76171875,0.05128527046783626
2,chance_100/change_30,benchmark_model,val,0.77734375,0.05128527046783626
3,chance_100/change_30,benchmark_model,val,0.765625,0.05128527046783626
4,chance_100/change_30,benchmark_model,val,0.78125,0.05128527046783626
0,chance_100/change_35,alt_model,test,0.984375,0.06979093567251463
1,chance_100/change_35,alt_model,test,0.98125,0.06979093567251463
2,chance_100/change_35,alt_model,test,0.98125,0.06979093567251463
3,chance_100/change_35,alt_model,test,0.975,0.06979093567251463
4,chance_100/change_35,alt_model,test,0.99375,0.06979093567251463
0,chance_100/change_35,alt_model,val,0.98046875,0.06979093567251463
1,chance_100/change_35,alt_model,val,0.984375,0.06979093567251463
2,chance_100/change_35,alt_model,val,0.984375,0.06979093567251463
3,chance_100/change_35,alt_model,val,0.9921875,0.06979093567251463
4,chance_100/change_35,alt_model,val,0.9765625,0.06979093567251463
0,chance_100/change_35,benchmark_model,test,0.81875,0.06979093567251463
1,chance_100/change_35,benchmark_model,test,0.83125,0.06979093567251463
2,chance_100/change_35,benchmark_model,test,0.80625,0.06979093567251463
3,chance_100/change_35,benchmark_model,test,0.784375,0.06979093567251463
4,chance_100/change_35,benchmark_model,test,0.809375,0.06979093567251463
0,chance_100/change_35,benchmark_model,val,0.8359375,0.06979093567251463
1,chance_100/change_35,benchmark_model,val,0.8046875,0.06979093567251463
2,chance_100/change_35,benchmark_model,val,0.8359375,0.06979093567251463
3,chance_100/change_35,benchmark_model,val,0.81640625,0.06979093567251463
4,chance_100/change_35,benchmark_model,val,0.80078125,0.06979093567251463
0,chance_100/change_40,alt_model,test,0.99375,0.05619078947368421
1,chance_100/change_40,alt_model,test,1.0,0.05619078947368421
2,chance_100/change_40,alt_model,test,0.99375,0.05619078947368421
3,chance_100/change_40,alt_model,test,0.990625,0.05619078947368421
4,chance_100/change_40,alt_model,test,0.984375,0.05619078947368421
0,chance_100/change_40,alt_model,val,0.99609375,0.05619078947368421
1,chance_100/change_40,alt_model,val,0.9921875,0.05619078947368421
2,chance_100/change_40,alt_model,val,0.98828125,0.05619078947368421
3,chance_100/change_40,alt_model,val,0.9921875,0.05619078947368421
4,chance_100/change_40,alt_model,val,0.984375,0.05619078947368421
0,chance_100/change_40,benchmark_model,test,0.828125,0.05619078947368421
1,chance_100/change_40,benchmark_model,test,0.79375,0.05619078947368421
2,chance_100/change_40,benchmark_model,test,0.796875,0.05619078947368421
3,chance_100/change_40,benchmark_model,test,0.765625,0.05619078947368421
4,chance_100/change_40,benchmark_model,test,0.825,0.05619078947368421
0,chance_100/change_40,benchmark_model,val,0.83203125,0.05619078947368421
1,chance_100/change_40,benchmark_model,val,0.8046875,0.05619078947368421
2,chance_100/change_40,benchmark_model,val,0.8125,0.05619078947368421
3,chance_100/change_40,benchmark_model,val,0.8046875,0.05619078947368421
4,chance_100/change_40,benchmark_model,val,0.80859375,0.05619078947368421
0,chance_100/change_45,alt_model,test,0.971875,0.07602942251461989
