fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
4,chance_10/change_25,benchmark_model,test,0.83,0.0013665525114155252
0,chance_10/change_25,benchmark_model,val,0.83125,0.0013665525114155252
1,chance_10/change_25,benchmark_model,val,0.85625,0.0013665525114155252
2,chance_10/change_25,benchmark_model,val,0.8,0.0013665525114155252
3,chance_10/change_25,benchmark_model,val,0.81875,0.0013665525114155252
4,chance_10/change_25,benchmark_model,val,0.88125,0.0013665525114155252
0,chance_10/change_30,alt_model,test,0.87,0.0010450913242009132
1,chance_10/change_30,alt_model,test,0.84,0.0010450913242009132
2,chance_10/change_30,alt_model,test,0.895,0.0010450913242009132
3,chance_10/change_30,alt_model,test,0.83,0.0010450913242009132
4,chance_10/change_30,alt_model,test,0.86,0.0010450913242009132
0,chance_10/change_30,alt_model,val,0.88125,0.0010450913242009132
1,chance_10/change_30,alt_model,val,0.85,0.0010450913242009132
2,chance_10/change_30,alt_model,val,0.8375,0.0010450913242009132
3,chance_10/change_30,alt_model,val,0.85,0.0010450913242009132
4,chance_10/change_30,alt_model,val,0.88125,0.0010450913242009132
0,chance_10/change_30,benchmark_model,test,0.895,0.0010450913242009132
1,chance_10/change_30,benchmark_model,test,0.855,0.0010450913242009132
2,chance_10/change_30,benchmark_model,test,0.895,0.0010450913242009132
3,chance_10/change_30,benchmark_model,test,0.835,0.0010450913242009132
4,chance_10/change_30,benchmark_model,test,0.865,0.0010450913242009132
0,chance_10/change_30,benchmark_model,val,0.8875,0.0010450913242009132
1,chance_10/change_30,benchmark_model,val,0.8875,0.0010450913242009132
2,chance_10/change_30,benchmark_model,val,0.83125,0.0010450913242009132
3,chance_10/change_30,benchmark_model,val,0.84375,0.0010450913242009132
4,chance_10/change_30,benchmark_model,val,0.89375,0.0010450913242009132
0,chance_10/change_35,alt_model,test,0.89,1.1415525114155251e-06
1,chance_10/change_35,alt_model,test,0.845,1.1415525114155251e-06
2,chance_10/change_35,alt_model,test,0.88,1.1415525114155251e-06
3,chance_10/change_35,alt_model,test,0.82,1.1415525114155251e-06
4,chance_10/change_35,alt_model,test,0.86,1.1415525114155251e-06
0,chance_10/change_35,alt_model,val,0.85,1.1415525114155251e-06
1,chance_10/change_35,alt_model,val,0.88125,1.1415525114155251e-06
2,chance_10/change_35,alt_model,val,0.8125,1.1415525114155251e-06
3,chance_10/change_35,alt_model,val,0.83125,1.1415525114155251e-06
4,chance_10/change_35,alt_model,val,0.875,1.1415525114155251e-06
0,chance_10/change_35,benchmark_model,test,0.885,1.1415525114155251e-06
1,chance_10/change_35,benchmark_model,test,0.845,1.1415525114155251e-06
2,chance_10/change_35,benchmark_model,test,0.88,1.1415525114155251e-06
3,chance_10/change_35,benchmark_model,test,0.815,1.1415525114155251e-06
4,chance_10/change_35,benchmark_model,test,0.86,1.1415525114155251e-06
0,chance_10/change_35,benchmark_model,val,0.85625,1.1415525114155251e-06
1,chance_10/change_35,benchmark_model,val,0.875,1.1415525114155251e-06
2,chance_10/change_35,benchmark_model,val,0.80625,1.1415525114155251e-06
